Address State,Latitude,Longitude
"140 University Town Center Dr Sarasota, FL 34243 ",27.386213,-82.4552766
"8130 Avalon Boulevard Alpharetta, GA 30009 ",34.07051035,-84.27473319885198
"3393 Peachtree Road NE Atlanta, GA 30326 ",33.84663415,-84.36281345415213
"3450 Wrightsboro Road Augusta, GA 30909 ",33.4692551,-82.0682063
"3333 Buford Drive Buford, GA 30519 ",34.08022956358381,-83.98635136416185
"2301 Kalakaua Avenue Honolulu, HI 96815 ",21.2783261,-157.8284086
"4211 Waialae Avenue Honolulu, HI 96816 ",21.2768555,-157.7866189
"1450 Ala Moana Boulevard Honolulu, HI 96814 ",21.2920456,-157.845712
"801 W. North Avenue Chicago, IL 60642 ",41.9106114,-87.64850215
"401 North Michigan Avenue Chicago, IL 60611 ",41.8897337,-87.62299498308619
"20530 N. Rand Road Deer Park, IL 60010 ",42.156813,-88.0425473
"120 West Jefferson Avenue Naperville, IL 60540 ",41.7728772,-88.1504063
"1056 Northbrook Court Northbrook, IL 60062 ",42.15179640201005,-87.81724242211055
"288 Orland Square Drive Orland Park, IL 60462 ",41.6203521,-87.8443632
"101 Jordan Creek Parkway West Des Moines, IA 50266 ",41.5809236,-93.8090915
"4529 West 119th Street Leawood, KS 66209 ",38.911342950000005,-94.63775297309513
"7900 Shelbyville Road Louisville, KY 40222 ",38.246544099999994,-85.60875383233626
"6401 Bluebonnet Boulevard Baton Rouge, LA 70836 ",30.388986,-91.0891687
"3301 Veterans Memorial Blvd Metairie, LA 70002 ",30.003167439597316,-90.15910289932886
"364 Maine Mall Road South Portland, ME 04106 ",43.6331844,-70.3342269
"4860 Bethesda Avenue Bethesda, MD 20814 ",38.9807455,-77.097767
"7101 Democracy Boulevard Bethesda, MD 20817 ",39.0214007,-77.1393969
"10300 Little Patuxent Parkway Columbia, MD 21044 ",39.2158379,-76.85999538624932
"4860 Bethesda Avenue Bethesda, MD 20814 ",38.9807455,-77.097767
"825 Dulaney Valley Road Towson, MD 21204 ",39.405584,-76.600159
"815 Boylston Street Boston, MA 02116 ",42.3489689,-71.0824143
"250 Granite Street Braintree, MA 02184 ",42.2189942,-71.02344998285133
"75 Middlesex Turnpike Burlington, MA 01803 ",42.48254195,-71.21352621256094
"100 CambridgeSide Place Cambridge, MA 02141 ",42.3687832,-71.0759859
"199 Boylston Street Chestnut Hill, MA 02467 ",42.3214542,-71.1781808
"508 Legacy Place Dedham, MA 02026 ",42.23040415,-71.17797465812538
"50 Holyoke Street Holyoke, MA 01040 ",42.17213507337945,-72.64009632971204
"1220 Market Street Lynnfield, MA 01940 ",42.5155969,-71.0344994
"1245 Worcester Street Natick, MA 01760 ",42.3018294,-71.38577061159874
"100 Briarwood Circle Ann Arbor, MI 48108 ",42.2408388,-83.7405892
"17360 Hall Road Clinton Township, MI 48038 ",42.62760840147268,-82.94762080673091
"3025 Preyde Boulevard Lansing, MI 48912 ",42.7643519,-84.5147314
"27500 Novi Road Novi, MI 48377 ",42.492084899999995,-83.46906881910996
"2800 W Big Beaver Road Troy, MI 48084 ",42.56280235,-83.18411556511299
"114 West Market Bloomington, MN 55425 ",44.854289,-93.2447295
"12531 Wayzata Boulevard Minnetonka, MN 55305 ",44.971363421419,-93.43782406044923
"1000 Highland Colony Parkway Ridgeland, MS 39157 ",32.439994,-90.14759
"227 Nichols Road Kansas City, MO 64112 ",39.0412988,-94.5902198
"131 West County Center St. Louis, MO 63131 ",38.60058415,-90.44725844297534
"2440 Saint Louis Galleria St. Louis, MO 63117 ",38.63281373869445,-90.34832303220531
