,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates,search time
112,Capstone Equity Partners  ,Traditional,2010-05-05,"Charlotte, NC, United States",Acquired,Yoforia (frozen yogurt),2010-11-11,196,,,Retail,"Atlanta, GA, United States",['Luke\xa0Tashie'],"['Sandro\xa0Mina', 'Martin\xa0Steber']",[],190.0
113,Bosworth Capital Partners  ,Traditional,2008-12-01,"Chicago, IL, United States",Acquired,Midwest Supplies,2010-12-01,462,http://bosworthcapital.com/,http://www.midwestsupplies.com,Retail,"Chicago, IL, United States","['Matt\xa0Estep', 'David\xa0Kidd ']","['Michael\xa0Aubrey ', 'Daniel\xa0Henn ', 'Jeff\xa0Stevens', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",['Mark\xa0Vanderheyden'],730.0
114,"Longleaf Capital Partners, LLC  ",Traditional,2009-01-01,"Charleston, SC, United States",Acquired,"Implementing Technologies, LLC",2011-01-01,395,http://www.longleafcapitalpartners.com/,http://www.implementingtech.com,Software,"Charleston, SC, United States","['Eric\xa0Thome ', 'Mark\xa0Henderson ', 'David\xa0Slenzak', 'Barclay\xa0McFadden ']","['Frank\xa0Genovese ', 'Jeff\xa0Manley ']",[],730.0
115,Paulus Capital (Captive Search Fund for Quantum Energy Partners)  ,Single Sponsor,2010-01-01,"Atlanta, GA, USA",Acquired,Ford Fry Restaurants,2011-01-01,1258,https://www.pauluscapital.com/,https://www.fordfry.com/,Food,"Atlanta, GA, USA",['Nicholas\xa0Fraunfelder'],[],[],365.0
116,Nashton Partners  ,Traditional,2008-06-01,"Boston, MA, United States",Acquired,Vector Disease Control,2011-01-01,409,http://www.nashtonpartners.com/,http://www.vdci.net/,Consumer Services,"Little Rock, AR 72202 ","['Jay\xa0Davis', 'Jason\xa0Pananos']","['Jim\xa0Southern', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Ashford\xa0Equity Partners ', 'Dewitt\xa0Thompson ', 'Ephriam\xa0Hoover ', 'David\xa0Dodson', 'Susan\xa0Pohlmeyer', 'Kent\xa0Weaver', 'Will\xa0Thorndike', 'Jim\xa0Wilder', 'Joe\xa0Niehaus', 'Mark\xa0Hilderbrand ', 'Coley\xa0Andrews', 'Jamie\xa0Turner ', 'Kirk\xa0Riedinger', 'Marc\xa0Bellaud ', 'Oak\xa0Drive Capital ', 'Tim\xa0Ludwig', 'Peter\xa0Francis ', 'Tcg\xa0Search Investors ', 'Robert\xa0Dahl ', 'William\xa0F ', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",['Amory\xa0Thorndike'],944.0
117,Prospect Hill Ventures  ,Traditional,2009-08-01,"51 Melcher St. Boston, MA 0221",Acquired,PW CLAIMS SERVICES,2011-01-01,534,inactive: http://www.prospecthillventures.com/,,Business Services,"Boston, MA, United States",['Adam\xa0Ray '],[],[],518.0
118,Sequential Capital Partners LLC  ,Traditional,2009-05-01,"Morristown, NJ, United States",Acquired,Data Fusion Technologies (DF Tech),2011-01-01,364,,http://www.dftech.com/,Business Services,"Ladera Ranch, CA, United States","['W.\xa0Todd Lawrence ', 'Ben\xa0Knoll ']","['Rafael\xa0Somoza', 'Robert\xa0Dahl ', 'José\xa0Stella', 'Craig\xa0Burr ', 'Ted\xa0McCarthy', 'Robert\xa0Parker ', 'Jim\xa0Southern', 'A.J.\xa0Wasserstein', 'Tim\xa0Ludwig', 'Joel\xa0Peterson', 'Aaron\xa0Gabbart', 'Sandro\xa0Mina', 'Scott\xa0Asen', 'Bill\xa0Egan ', 'Jim\xa0Ellis', 'Joseph\xa0Gorman ', 'Kent\xa0Weaver', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Natalie\xa0Cryer', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey']",[],610.0
119,Adirondack Growth Capital  ,Traditional,2009-02-01,"Minneapolis, MN, United States",Acquired,Midwest Supplies,2011-02-20,453,http://adirondackgrowthcapital.com/,https://www.midwestsupplies.com/,Retail,"Minneapolis, MN, United States",['David\xa0Kidd '],"['John\xa0Barrow ', 'Chuck\xa0Grant ', 'Todd\xa0Peterson ', 'Joel\xa0Peterson']",[],749.0
120,"Vestige Capital, LLC  ",Traditional,2009-08-01,"Mexico City, Mexico",Acquired,Bomi de Mexico,2011-03-01,335,,http://www.medistik.com.mx/,Healthcare,"Mexico City, Mexico","['Mario\xa0Sicilia ', 'Jose Antonio\xa0Fernandez Garza-Laguera ']","['Joel\xa0Peterson', 'Jim\xa0Ellis', 'Craig\xa0Burr ', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Pablo\xa0Gonzalez ', 'Jose\xa0Antonio Fernandez Carbajal ', 'Armando\xa0Garza Sada ', 'Rodrigo\xa0Herrera ', 'Javier\xa0Fernandez Carbajal ', 'Valiant\xa0Partners ']",[],577.0
121,Auxo Management  ,Traditional,2010-01-01,"Toronto, ON, Canada",Acquired,"UCIT Online Security (2011) and Stealth Monitoring (Dallas, 2016)",2011-04-04,216,http://www.auxomanagement.com/,http://www.ucitonline.com/,Software,"Toronto, ON, Canada","['Erik\xa0Mikkelsen', 'Robert\xa0Cherun ']","['Doug\xa0Abbey ', 'Gordon\xa0Cheung ', 'Nestor\xa0Cruz ', 'Robert\xa0Dahl ', 'Sandro\xa0Mina', ""Michael F\xa0O'Connell"", 'Kausik\xa0Rajgopal ', 'Gerald\xa0Risk', 'Rafael\xa0Somoza', 'Martin\xa0Steber', 'José\xa0Stella', 'Richard\xa0Venn ', 'Kent\xa0Weaver', 'Steven\xa0Wheelwright', 'Brett\xa0Wilson ', 'Robert\xa0Chefitz ', 'Bill\xa0Polk ', 'Brandon\xa0Cope ', 'Joel\xa0Peterson', 'Dan\xa0Peterson ', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Jim\xa0Southern', 'Coley\xa0Andrews', ""MK\xa0O'Connell""]",[],458.0
122,Cetina Capital  ,Self Funded,2007-01-01,"San Francisco, CA, United States",Acquired,Cyrun,2011-05-01,593,http://www.cetinacapital.com/,http://cyrun.com/,Software,"Pleasanton, CA, United States",['Sarath\xa0Boyapati '],"['Sandro\xa0Mina', 'Will\xa0Thorndike']",[],1581.0
123,Abacus Partners  ,Traditional,2008-12-01,"London, United Kingdom",Acquired,Servebase (later PXP),2011-05-01,527,https://www.abacuspartners.co.uk/,http://www.pxp-solutions.com/,Business Services,"London, United Kingdom",['Ritz\xa0Steytler'],"['Chris\xa0Batterham ', 'Craig\xa0Burr ', 'Andrew\xa0Dixon ', 'Bill\xa0Egan ', 'Rob\xa0Johnson ', 'Frank\xa0Kenny ', 'Bryan\xa0Meehan ', 'Maurice\xa0Pinto ', 'Mike\xa0Steytler ', 'Kent\xa0Weaver', 'Simon\xa0Webster', 'Keith\xa0Willey ']",[],881.0
124,Scottish American Capital  ,Traditional,2009-06-06,"Los Angeles, CA, United States",Acquired,Yates and Associates,2011-06-15,15,,http://www.scottishamerican.com,Insurance,"Santa Ana, CA, United States",['Paul\xa0Thomson'],"['Tom\xa0Cassutt', 'David\xa0Lazier', 'Kent\xa0Weaver', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Jim\xa0Southern', 'Neil\xa0Rackman ', 'Peter\xa0Francis ', 'Ralph\xa0James', 'Steve\xa0Hollis ', 'Sandro\xa0Mina', 'Steven\xa0Wheelwright', 'Paul\xa0Rogers', 'Glenn\xa0Healey', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Joel\xa0Peterson', 'Ben\xa0Capell']","['Jordan\xa0Scheiman ', 'Nathan\xa0Israel', 'Cristian\xa0Joe', 'David\xa0Gibian ', 'Kiet\xa0Vo']",739.0
