,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
580,Laurel Tree Partners  ,Traditional,2019-06-01,"Boston, MA, USA",Acquired,Aymira (behavioral health provider agencies and software platform.),2020-10-01,1135,https://www.laureltreepartners.com/,https://aymira.com/,Healthcare,"Charlotte, NC, USA","'Jenna Lally', 'Dennis Lally'","'Tiffany Clay', 'Richard Augustyn', 'Matt Friesl ', 'Larry Dunn', 'David Dodson', 'Andy Love', 'Susan Pohlmeyer', 'Brad Buser', 'Will Thorndike', 'B.A. Cullum', 'Mark Hilderbrand ', 'Brad Brown', 'Barry Reynolds ', 'Paul Davies', 'Rene Lajous', ""MK O'Connell"", 'Natalie Cryer', ""Michael F O'Connell"", 'Jason Pananos', 'Jay Davis', 'Clint Peterson', 'Aaron Gabbart', 'Sandro Mina', 'Martin Steber', 'Rich Kelley', 'Jim Edmunds', 'David Carver', 'Todd Tracey', 'Tom Cassutt', 'David Lazier', 'Scott Alderman', 'Cregg Baumbaugh', 'Mitch Cohen', 'Aaron Perrine', 'Badge Stone'",,488,-71.0582912,42.3602534,35.2272086,-80.8430827,720.5774825143426
581,Zinc Capital  ,Traditional,2019-08-27,"Lisbon, Portugal",Acquired,"Maintenance, Repairs and Operations (MRO)",2020-10-01,1235,http://zinc.capital/,www.teclena.pt,,Portugal,"'Tiago Paixao', 'Leonardo Carvalho'","'Sandro Mina', 'Martin Steber', 'Tobias Raeber '",,401,-9.1365919,38.7077507,40.0332629,-7.8896263,113.23943736444176
582,Blue Knot I  ,Traditional,2018-01-07,UK,Acquired,Page Bros,2020-10-01,1825,www.blueknotpartners.com,www.pagebros.co.uk,Business Services,"Norwich, UK",'Alex Tuya',"'Scott Asen', 'Will Thorndike', 'Alfonso Barandiarn ', 'Tushar Shah'",,998,-3.2765753,54.7023545,52.628606,1.29227,235.53371157981104
583,Estes Point  ,Single Sponsor,2017-07-01,"Boston, MA, United States",Acquired,True View™ Windows & Glass,2020-10-01,663,https://www.estespoint.com/,https://www.trueviewglass.com/,Construction,"Phoenix, AZ, USA",'Nick Pucci',"'Timothy Bovard', 'Jeremy Silverman', 'Jake Nicholson', 'Andrea Gonzalez Corleto'",,1188,-71.0582912,42.3602534,33.4484367,-112.0741417,2295.2073658947843
584,ADSC  ,Traditional,2019-12-01,"San Francisco, California, United States",Acquired,Hadrian,2020-11-01,2033,,https://hadrian.co/,Manufacturing,"San Francisco, California, United States",'Chris Power',"'Jeff Stevens', 'Ashley Giesler', 'Vince Vo ', 'Greg Matthews', 'Mike Mahre '",,336,-122.419906,37.7790262,37.7790262,-122.419906,0.0
585,Buck Jack Capital  ,Traditional,2017-01-01,"Houston, TX, United States",Acquired,unknown,2020-12-01,542,http://buckjackcapital.com/,,,,"'Laura Franklin', 'William Colt'","'Jeff Stevens', 'Ashley Giesler', 'Greg Matthews', 'Jim Southern', 'Coley Andrews', 'Jason Luther', 'Rich Kelley', 'Jim Edmunds', 'David Carver', 'Todd Tracey', 'Scott Alderman', 'Cregg Baumbaugh', 'Mitch Cohen', 'Luke Hedlund', 'Harold Mottet', 'William Cohan', 'Grant Schafle', 'Richard Augustyn', 'Larry Dunn'",,1430,-95.3676974,29.7589382,NaN,NaN,NaN
586,Forge Partners  ,Traditional,2018-10-01,"Atlanta, GA, USA",Acquired,unknown,2020-12-01,1067,https://www.linkedin.com/company/forge-partners-l-l-c/about/,,,,"'Grant Schafle', 'Taylor Davidson'","'Sandro Mina', 'Martin Steber', 'J.T. Fitzgerald', 'Sam Duprey ', 'Rameez Ansari ', 'Steve Lau '",,792,-84.3902644,33.7489924,NaN,NaN,NaN
587,Seely Partners Capital  ,Traditional,2020-08-01,"Boston, MA, USA",Acquired,"Facilities Survey, Inc. (healtchare and maintenance software)",2020-12-01,1770,,https://facilitiessurvey.com/,Software,"Pittsburgh, PA, USA",'Zachary Seely',"'Larry Dunn', 'Richard Augustyn', 'Tiffany Augustyn'",,122,-71.0582912,42.3602534,40.4416941,-79.9900861,481.24737836624496
588,Archer Growth Partners  ,Traditional,2019-05-01,"Toronto, ON, Canada",Acquired,unknown,2020-12-01,1172,https://www.archergrowth.com/,,,,"'Rishi Sahel', 'Martin Thiel'","'Richard Augustyn', 'Larry Dunn', 'Rich Kelley', 'Jim Edmunds', 'David Carver', 'Todd Tracey', 'Steve Lau ', 'Rameez Ansari ', 'Lucas Braun', 'Ryan Robinson ', 'Mario Nigro', 'Andy Love', 'Brad Buser', 'B.A. Cullum'",'Justin Lai',580,-79.3839347,43.6534817,NaN,NaN,NaN
589,Amberfield Partners  ,Traditional,2020-03-01,"Charlottesville, VA, USA",Acquired,Radiation Detection Company,2020-12-01,1971,https://www.amberfieldpartners.com/,https://www.radetco.com/,Business Services,"Georgetown, TX, USA",'Ryan Turk',"'Lucas Braun', 'Tom Cassutt', 'Tyler Coats', 'Jay Davis', 'James Feuille ', 'David Lazier', 'Jason Pananos', 'Kirk Riedinger', 'Ryan Robinson ', 'Will Thorndike', 'Doug Tudor ', 'Jamie Turner ', 'David Dodson', 'Susan Pohlmeyer', 'Kyle Coots', 'Kurt Leedy', 'Coley Andrews', 'Jim Southern', 'Kevin Oxendine', 'Chris Hendriksen', 'Scott Alderman', 'Cregg Baumbaugh', 'Mitch Cohen', 'Aaron Perrine', 'Saumil Jariwala', 'Bret Comolli', 'Jim Ellis', 'Gerald Risk', 'Kevin Taweel'",,275,-78.4766781,38.029306,30.6326942,-97.6772311,1205.7147976283934
