,Acquisitions,Explore,Inactive,Raise,Search,Investments,Acquisition Rate,Failure Rate,Still Searching
 'Todd Sandoz ',7.0,0.0,1.0,0.0,1.0,9.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
 'Paul Huber ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jerry Ivy ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jeffrey David Jordan ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Stephen Bent ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Nicholas Brady ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Russell Fisher ',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'William Hunter ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Thomas Sturges ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Harold Mottet',14.0,0.0,0.0,0.0,2.0,16.0,0.875,0.0,0.125
"""Michael F O'Connell""",52.0,0.0,11.0,0.0,11.0,74.0,0.7027027027027027,0.14864864864864866,0.14864864864864866
 'Owen Colligan ',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Brett Keith ',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Das Narayandas ',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Brad Brown',39.0,0.0,4.0,0.0,29.0,72.0,0.5416666666666666,0.05555555555555555,0.4027777777777778
 'John Chendo',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Trevor Loy ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Dirk McDermott ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Tommy Beman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Tom DeLong ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'James Greene ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Joe Patton ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Harry Augur ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Robert Bowman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Bob Carton ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'William Leachman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Leonardo Simpser',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'David Carver',106.0,1.0,17.0,1.0,33.0,158.0,0.6708860759493671,0.10759493670886076,0.22151898734177214
 'Paul Davies',57.0,0.0,19.0,0.0,19.0,95.0,0.6,0.2,0.2
'Scott Asen',28.0,0.0,10.0,0.0,12.0,50.0,0.56,0.2,0.24
 'David Frankel ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Richard Ivey ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Bill Young ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'David Young ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Grant Gund',3.0,0.0,1.0,0.0,0.0,4.0,0.75,0.25,0.0
 'Ralph Vogel',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Zack Gund ',2.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0
'Karl Krieger ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Dale Buckwalter ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Ed Anderson ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Eric Close ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Yves Carreau ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
" ""Dave D'Appolonia """,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Chris Farls ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Matt Levy ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Lhormer ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Dan Lynch ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Hal Mendlowitz ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Patrick Mercier ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Scott Wolford ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Tom Cassutt',59.0,0.0,11.0,0.0,18.0,88.0,0.6704545454545454,0.125,0.20454545454545456
 'James Braun ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
