,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
1987,Construction Services Buy & Build  ,Traditional,2019-11-01,"Manchester, UK",Explore,,,1238,,,,,'Stuart Barlow',,,,-2.2451148,53.4794892,NaN,NaN,NaN
1988,Unicode Capital  ,Self Funded,2020-07-06,"San Diego, CA, USA",Search,,,1494,www.unicodecapital.com,,,,'Grant Ognibene',,,,-117.1627728,32.7174202,NaN,NaN,NaN
1989,Smokestack  ,Traditional,2021-06-07,"Prague, Czechia",Search,,,2006,www.smokestack.cz,,,,'Martin Komnek',"'Claus von Loeper ', 'Herbert Doleisch', 'Jos Moreno', 'Alejandro Moya Najera', 'Jordy Staelen', 'Kristof Matyasfalvi', 'Taylor Connaughton', 'Joo Teixeira', 'Benot DAVID', 'Sofyane Thabet', 'Guido Verswijvel', 'Steve Ressler', 'Alexander Mears', 'Ola Lawal', 'Bruno LEA', 'Franc Gmez-Landero', 'Rajiv Bhala', 'Helena Diviov', 'Lukas Matzinger', 'Ryan Berryman'",,,14.4212535,50.0874654,NaN,NaN,NaN
1990,Bravo Capital Partners  ,Traditional,2021-10-01,"Miguel Hidalgo, Mexico City, CDMX, Mexico",Search,,,2262,,,,,"'Eduardo Hdz del Angel', 'Ignacio Lizarraga'",,,,-99.1917103,19.4075059,NaN,NaN,NaN
1991,Levion Partners  ,Traditional,2019-09-03,"Toronto, ON, Canada",Raise,,,1239,https://www.levionpartners.com,,,,"'Elvin Kim', 'Simon Lightstone'",,,,-79.3839347,43.6534817,NaN,NaN,NaN
1992,Pontem Capital  ,Traditional,2020-12-01,"Madrid, España",Raise,,,1751,,,,,'David Malo Cid',,,,-3.7035825,40.4167047,NaN,NaN,NaN
1993,Rue Racine Capital Partners,Self Funded,2021-05-01,"San Francisco, CA, USA",Raise,,,2007,,,,,,,,,-122.419906,37.7790262,NaN,NaN,NaN
1994,Highspire Holdings  ,Single Sponsor,2019-12-31,"West Chester, PA, USA",Search,,,2263,https://www.highspireholdings.com,,,,"'Benjamin Bryer, CFA'",,,,-75.6059638,39.9597213,NaN,NaN,NaN
1995,Full Sail Capital  ,Self Funded,2013-01-01,"Atlanta, GA, United States",Search,,,472,http://www.fullsailcap.com/,,,,'Kevin Kennedy ',,,,-84.3902644,33.7489924,NaN,NaN,NaN
1996,"Brush Creek Capital, LLC  ",Self Funded,2017-02-01,"Baltimore, Maryland, United States",Search,,,728,http://www.brushcreekcapital.com,,,,'Adam Michel',,,,-76.610759,39.2908816,NaN,NaN,NaN
