COUNTY,COUNT LOANS,SUM AVG VALUE LOANS
36097,68," $42,950,000 "
36015,133," $106,800,000 "
42003,2904," $2,029,475,000 "
42007,299," $214,750,000 "
42125,512," $387,325,000 "
42129,807," $529,275,000 "
42051,195," $107,875,000 "
42019,451," $316,350,000 "
42059,26," $21,775,000 "
42111,63," $53,800,000 "
42009,71," $43,400,000 "
42057,7," $6,275,000 "
42005,73," $39,975,000 "
42063,167," $105,625,000 "
42065,85," $50,675,000 "
42021,259," $156,425,000 "
42033,75," $45,500,000 "
42047,87," $56,000,000 "
42053,7," $2,600,000 "
42031,38," $17,925,000 "
42023,0, $-   
42083,41," $28,975,000 "
42013,177," $161,825,000 "
42073,151," $99,725,000 "
42121,86," $42,025,000 "
42085,178," $110,225,000 "
42039,202," $130,900,000 "
42123,48," $31,775,000 "
42049,476," $315,675,000 "
42061,53," $30,625,000 "
42027,270," $181,900,000 "
42105,13," $7,025,000 "
42035,30," $16,250,000 "
42117,61," $28,725,000 "
42015,62," $37,525,000 "
42081,213," $142,600,000 "
42041,568," $444,150,000 "
42087,58," $32,825,000 "
42075,307," $203,125,000 "
42043,614," $435,775,000 "
42099,15," $6,700,000 "
42133,576," $393,425,000 "
42067,29," $13,975,000 "
42097,108," $68,975,000 "
42001,228," $159,675,000 "
42055,238," $135,075,000 "
42071,1269," $914,625,000 "
42011,810," $581,875,000 "
42109,39," $44,150,000 "
42029,1538," $1,003,775,000 "
42113,8," $3,275,000 "
42093,15," $5,875,000 "
42037,32," $29,675,000 "
42119,94," $59,950,000 "
42079,572," $341,300,000 "
42107,183," $121,225,000 "
42095,405," $239,450,000 "
42077,808," $560,050,000 "
42025,71," $37,800,000 "
42017,1894," $1,204,675,000 "
42091,2928," $2,141,550,000 "
42089,153," $79,175,000 "
42103,23," $14,450,000 "
42069,446," $307,725,000 "
42127,96," $53,350,000 "
42115,84," $46,375,000 "
42131,15," $6,700,000 "
42045,1035," $636,175,000 "
42101,2400," $1,808,675,000 "
10003,1377," $950,775,000 "
10001,255," $133,925,000 "
10005,420," $189,900,000 "
11001,2769," $1,965,225,000 "
51059,2959," $2,332,275,000 "
24031,2673," $1,898,600,000 "
51107,1060," $684,000,000 "
51061,285," $166,650,000 "
51047,88," $53,550,000 "
51157,47," $22,700,000 "
51683,0, $-   
51153,636," $388,425,000 "
51685,211," $115,500,000 "
51043,24," $14,325,000 "
24033,1441," $1,063,775,000 "
51013,724," $531,950,000 "
51510,530," $375,350,000 "
24017,238," $124,750,000 "
24037,113," $90,800,000 "
24009,123," $64,625,000 "
24003,1429," $893,600,000 "
24027,1019," $808,050,000 "
4025,339," $168,825,000 "
24021,588," $351,675,000 "
24025,445," $275,875,000 "
24005,2049," $1,402,075,000 "
24013,295," $170,400,000 "
24510,1098," $728,775,000 "
24001,87," $54,350,000 "
24023,63," $47,000,000 "
24041,128," $73,300,000 "
24035,135," $72,475,000 "
24011,43," $31,800,000 "
24029,11," $3,600,000 "
24019,54," $29,350,000 "
24043,279," $173,800,000 "
24047,173," $73,125,000 "
24045,225," $138,975,000 "
24039,13," $9,450,000 "
24015,114," $64,275,000 "
51600,430," $338,975,000 "
51610,186," $149,600,000 "
51179,69," $44,075,000 "
51630,0, $-   
51177,159," $80,450,000 "
51033,98," $69,600,000 "
51133,15," $5,025,000 "
51137,85," $44,600,000 "
51159,13," $6,200,000 "
51193,34," $19,725,000 "
51057,13," $7,025,000 "
51097,8," $6,525,000 "
51099,0, $-   
51103,11," $5,675,000 "
51119,15," $5,850,000 "
51085,172," $105,025,000 "
51840,5," $1,250,000 "
51069,239," $146,625,000 "
51187,17," $5,100,000 "
51171,66," $32,400,000 "
51139,1," $250,000 "
51113,19," $16,600,000 "
51165,70," $60,050,000 "
51660,113," $64,875,000 "
51015,192," $108,675,000 "
51540,110," $60,850,000 "
51003,389," $207,225,000 "
51065,34," $19,025,000 "
51125,17," $13,700,000 "
51009,25," $20,225,000 "
51079,16," $5,700,000 "
51109,9," $4,350,000 "
51820,4," $8,250,000 "
51073,32," $10,550,000 "
51135,17," $6,800,000 "
51007,19," $8,125,000 "
51029,41," $28,300,000 "
51101,4," $1,425,000 "
51127,73," $35,325,000 "
51115,7," $2,600,000 "
51049,12," $7,925,000 "
51036,36," $22,750,000 "
51087,507," $357,050,000 "
51075,144," $74,825,000 "
51095,97," $56,250,000 "
51199,184," $94,250,000 "
51145,50," $21,825,000 "
51041,526," $321,925,000 "
51760,817," $551,800,000 "
51830,1," $675,000 "
51001,30," $12,875,000 "
51093,12," $4,700,000 "
51131,15," $8,400,000 "
51810,994," $609,325,000 "
51550,452," $263,400,000 "
51800,75," $33,975,000 "
51740,153," $85,575,000 "
51181,10," $3,775,000 "
51710,298," $202,100,000 "
51700,220," $148,025,000 "
51650,161," $83,750,000 "
51735,0, $-   
51730,23," $9,125,000 "
51149,4," $1,425,000 "
51053,26," $21,650,000 "
51025,13," $5,375,000 "
51111,10," $11,125,000 "
51175,47," $22,300,000 "
51183,5," $1,675,000 "
