,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates
101,Lila Capital Partners  ,Traditional,20080601,"Sausalito, CA, United States",Acquired,HemaSource,20100201,273,http://www.lilacapital.com/,http://www.hemasource.com,Healthcare,"Salt Lake City, UT, United States",['Todd\xa0Tracey'],"['Craig\xa0Burr ', 'David\xa0Carver', 'Tom\xa0Cassutt', 'Bill\xa0Egan ', 'Mark\xa0Egan ', 'Rich\xa0Kelley', 'Richard\xa0Kovacevich ', 'Phelps\xa0Wood ', 'David\xa0Lazier', 'Will\xa0Thorndike', ""Michael F\xa0O'Connell""]",[]
102,Commercial Laundry Corporation  ,Self Funded,20100301,"Baltimore, MD, United States",Acquired,Urban Hanger LLC,20100301,383,,http://www.urbanhangerlaundry.com/,Business Services,"Baltimore, Maryland",['Brandon\xa0Rosenblatt '],[],[]
103,Finrock Growth Partners  ,Traditional,20090707,"Austin, TX, United States",Acquired,Workplace Answers (WPA) (formerly New Media Learning),20100404,80,http://www.finrock-growth.com/,http://www.workplaceanswers.com/,Business Services,"Austin, TX, United States",['Girish\xa0Pashilkar'],"['Brad\xa0Brown', 'Tom\xa0Cassutt', 'Michael\xa0De Anda ', 'Peter\xa0Francis ', 'David\xa0Lazier', 'Michael\xa0Miles', 'Sandro\xa0Mina', 'Karen\xa0Moriarty', 'Joe\xa0Niehaus', 'Kent\xa0Weaver', 'Larry\xa0Archibald', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Will\xa0Thorndike', 'Peter\xa0Kelly', 'A.J.\xa0Wasserstein', 'Jamie\xa0Turner ', 'Andrew\xa0Saltoun ', 'Sarath\xa0Boyapati ', 'J.P.\xa0Whelan ', 'Glenn\xa0Healey', 'Zachary\xa0Urban', 'Tim\xa0Ludwig', 'Martin\xa0Steber', 'Jim\xa0Southern', 'Coley\xa0Andrews']",['Brooke\xa0Schulz Fernandez ']
104,Wright Equity Partners  ,Traditional,20060601,"Atlanta, GA, United States",Acquired,Ascentia Home Health,20100701,282,http://www.wrightequity.com/,,Healthcare,"Bradenton, Florida, United States",['Thaddeus\xa0 Wright'],"['Craig\xa0Burr ', 'David\xa0Carver', 'Julie\xa0Couillard ', 'David\xa0Dodson', 'Bill\xa0Egan ', 'Michael\xa0Kay ', 'Rich\xa0Kelley', 'Paul\xa0D. McCoy ', 'Bob\xa0Oster ', 'Jim\xa0Southern', 'Howard\xa0Stevenson ', 'Will\xa0Stevenson', 'Will\xa0Thorndike', 'Joel\xa0Peterson', 'Aaron\xa0Gabbart', 'Tom\xa0Cassutt', 'David\xa0Lazier']",['Logan\xa0Greenspan']
105,HeelHorn Partners  ,Traditional,20080801,"Charlotte, NC, USA",Acquired,MSP Pump and Trench,20100801,840,,http://pumpandtrench.com,Construction,"Charlotte, NC, USA","['Badge\xa0Stone', 'Tanmay\xa0Desai']",[],[]
106,Blue Horizon Capital  ,Traditional,20080601,"Los Angeles, CA, United States",Acquired,Veri-Tax,20100801,278,,http://www.veri-tax.com/,Finance,"Irvine, CA, United States","['Michael\xa0Chon ', 'Jieho\xa0Lee ']","['Michael\xa0De Anda ', 'Tim\xa0Ludwig', 'Bill\xa0Egan ', 'Mark\xa0Egan ', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell""]",[]
107,Mainsail Partners - EIR Zac Carman  ,Single Sponsor,20090202,"San Francisco, CA, United States",Acquired,Consumer Affairs,20100909,81,http://www.mainsailpartners.com/,https://www.consumeraffairs.com/,Consumer Services,"Tulsa, OK, United States",['Zac\xa0Carman'],"['Gavin\xa0Turner ', 'Jason\xa0Payne ', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley']",['Sri\xa0Bodapati']
108,Bartley Capital  ,Traditional,20071111,"Boston, MA, United States",Acquired,Medical Record Associates,20100909,185,,http://www.mrahis.com/,Healthcare,"Quincy, MA, United States",['Charlie\xa0Saponaro'],"['Sandro\xa0Mina', 'Martin\xa0Steber', 'Scott\xa0Asen', 'Craig\xa0Burr ', 'Brian\xa0Collins ', 'Bill\xa0Egan ', 'Joe\xa0Niehaus', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Howard\xa0Stevenson ', 'Will\xa0Thorndike', 'A.J.\xa0Wasserstein']",[]
109,Innova - Mex Capital LLC  ,Traditional,20090801,"Bosques de las Lomas, Mexico City, Mexico",Acquired,ENKONTROL,20101001,357,,http://www.enkontrol.com/,Software,"San Pedro, Nuevo Leon, Mexico","['Eduardo\xa0Clave ', 'Gustavo\xa0Fernandez ']","['Sandro\xa0Mina', 'Martin\xa0Steber']",[]
110,Sentinel Peak Capital  ,Traditional,20090707,"San Francisco, CA, United States",Acquired,Arizona College,20101010,174,http://sentinelpeakcapital.com/,http://www.arizonacollege.edu/,Consumer Services,"Glendale, AZ, United States",['Nick\xa0Mansour'],"['Brad\xa0Brown', 'Craig\xa0Burr ', 'Tom\xa0Cassutt', 'Michael\xa0De Anda ', 'David\xa0Dodson', 'Bill\xa0Egan ', 'Peter\xa0Francis ', 'David\xa0Lazier', 'Ted\xa0McCarthy', 'Joe\xa0Niehaus', 'Bob\xa0Oster ', 'Richard\xa0Reese ', 'Jim\xa0Southern', 'Kevin\xa0Taweel', 'Will\xa0Thorndike', 'Kent\xa0Weaver', 'Ed\xa0Weisiger ', 'Coley\xa0Andrews']",[]
